iter	Logloss
0	0.6918802868
1	0.6904564036
2	0.689731386
3	0.6883039166
4	0.6875653899
5	0.6863319988
6	0.6857490734
7	0.6845755416
8	0.6834893633
9	0.6826911523
10	0.6819844259
11	0.6810639457
12	0.6801835433
13	0.6789171639
14	0.677831888
15	0.6770435209
16	0.6762960907
17	0.674438445
18	0.6737106987
19	0.6732998399
20	0.6724822916
21	0.6720562724
22	0.6712458847
23	0.6703788158
24	0.6693581066
25	0.6686178765
26	0.6676983568
27	0.6665451039
28	0.6654506484
29	0.6642883454
30	0.663627884
31	0.6625004043
32	0.6616466011
33	0.6608623894
34	0.6599736344
35	0.6594000996
36	0.658181081
37	0.6571513507
38	0.6566415146
39	0.655117667
40	0.6539781996
41	0.6528701692
42	0.6521607834
43	0.6512745939
44	0.6502702409
45	0.6493905668
46	0.6486014793
47	0.6475878187
48	0.6465932291
49	0.6452770865
50	0.6448085031
51	0.6441586867
52	0.6429282391
53	0.6417761804
54	0.6409782178
55	0.6400161953
56	0.6392047273
57	0.6384237214
58	0.637527428
59	0.6370434172
60	0.6366388932
61	0.6355654856
62	0.6350689215
63	0.6344477733
64	0.6333939287
65	0.6328465174
66	0.6322253023
67	0.6313808525
68	0.6303677409
69	0.6296828714
70	0.6287240167
71	0.6279064979
72	0.6271240835
73	0.6263624956
74	0.6255106179
75	0.6245479689
76	0.6240651751
77	0.6235773352
78	0.6231411591
79	0.6223738159
80	0.6215887035
81	0.6207495999
82	0.6197705601
83	0.6188835917
84	0.6182396548
85	0.6173171878
86	0.6163820071
87	0.6152964582
88	0.614587831
89	0.6139407162
90	0.6129731548
91	0.6124408846
92	0.6116116672
93	0.6109697652
94	0.6098049246
95	0.6089055314
96	0.6080127446
97	0.6071653349
98	0.6063395077
99	0.605217006
100	0.604411871
101	0.6034025867
102	0.6027249386
103	0.6014730436
104	0.6008688785
105	0.6003652713
106	0.5993634765
107	0.5986878322
108	0.5979915638
109	0.5974643021
110	0.5967549905
111	0.595965311
112	0.5952782638
113	0.5944571568
114	0.5937758822
115	0.592867701
116	0.5923609933
117	0.590667491
118	0.5902372
119	0.5891136599
120	0.5887167793
121	0.5874835018
122	0.5867689602
123	0.5857702175
124	0.5849688367
125	0.5843154628
126	0.5830607677
127	0.5823437823
128	0.5815854231
129	0.58109906
130	0.5805843132
131	0.5798155992
132	0.5792603809
133	0.5786528658
134	0.5780605938
135	0.5777136873
136	0.5763559595
137	0.5752040652
138	0.57473347
139	0.5739999233
140	0.5727499678
141	0.5721707066
142	0.571490105
143	0.5701838192
144	0.5693841262
145	0.5688081699
146	0.5676340904
147	0.5669287646
148	0.5660213032
149	0.5652048528
150	0.5644817681
151	0.563807221
152	0.5631383904
153	0.5622611815
154	0.5616438777
155	0.5607558851
156	0.5599553655
157	0.5588584656
158	0.5581539134
159	0.5569550714
160	0.5561812083
161	0.5551831405
162	0.5541899717
163	0.552175213
164	0.5513636298
165	0.5496592879
166	0.5488012117
167	0.5474972661
168	0.5456866682
169	0.5445283659
170	0.5435001014
171	0.5425870786
172	0.5416975817
173	0.5407078668
174	0.5397558042
175	0.5387800415
176	0.5375154324
177	0.5362500276
178	0.5351750514
179	0.5342992388
180	0.5335276884
181	0.5318748607
182	0.5303273382
183	0.5292765449
184	0.527579061
185	0.526651699
186	0.5256216655
187	0.5243517121
188	0.523573359
189	0.5223711386
190	0.5208451439
191	0.5200756028
192	0.519001824
193	0.5179136262
194	0.5167275293
195	0.5151643472
196	0.5146159027
197	0.513123345
198	0.5121581337
199	0.5109825847
200	0.5101297477
201	0.5091510837
202	0.5082952734
203	0.5076336024
204	0.5067770529
205	0.5061091213
206	0.5049157635
207	0.5043135106
208	0.5031242597
209	0.5021936221
210	0.5006967523
211	0.4998820085
212	0.4991124022
213	0.4982752906
214	0.4973936969
215	0.4964204025
216	0.495734093
217	0.495125058
218	0.4935411631
219	0.4921805911
220	0.4911878554
221	0.4903203749
222	0.4890761568
223	0.4877663391
224	0.4868139684
225	0.4858564157
226	0.4849821884
227	0.4842161942
228	0.4831331275
229	0.4822136439
230	0.4809773381
231	0.4798277949
232	0.4788737516
233	0.4777174197
234	0.477195042
235	0.4765723931
236	0.4753020968
237	0.4745067808
238	0.4732579431
239	0.4724706254
240	0.4714194968
241	0.4698344994
242	0.4689188333
243	0.4682033725
244	0.4670783665
245	0.4665073889
246	0.4656615624
247	0.4646925161
248	0.4639099839
249	0.4630537034
250	0.4623978484
251	0.4612774749
252	0.4600460341
253	0.4593117251
254	0.4582100867
255	0.4576131168
256	0.4564691367
257	0.4556159491
258	0.4547958049
259	0.4535298787
260	0.4523613362
261	0.4512731695
262	0.4504664757
263	0.4496933674
264	0.4489957984
265	0.4486162942
266	0.4478937739
267	0.4472405147
268	0.4463712827
269	0.4454993428
270	0.4448229941
271	0.4440986975
272	0.4431224257
273	0.4422047654
274	0.4412685156
275	0.4406509622
