iter	Passed	Remaining
0	63	25471
1	70	13982
2	76	10184
3	84	8383
4	90	7142
5	97	6375
6	105	5898
7	111	5454
8	118	5131
9	125	4880
10	131	4656
11	139	4497
12	146	4349
13	154	4256
14	163	4190
15	173	4169
16	181	4095
17	189	4023
18	198	3974
19	206	3917
20	212	3840
21	220	3786
22	228	3743
23	237	3716
24	246	3695
25	253	3650
26	261	3616
27	269	3581
28	278	3563
29	288	3561
30	298	3550
31	306	3528
32	314	3494
33	322	3472
34	330	3450
35	339	3431
36	346	3404
37	354	3378
38	361	3343
39	368	3318
40	377	3305
41	387	3305
42	395	3283
43	402	3258
44	410	3239
45	418	3217
46	425	3197
47	432	3174
48	440	3158
49	448	3136
50	455	3113
51	462	3094
52	469	3075
53	476	3055
54	485	3043
55	493	3033
56	503	3031
57	512	3023
58	519	3002
59	526	2982
60	536	2982
61	544	2967
62	552	2953
63	559	2937
64	567	2925
65	574	2908
66	581	2890
67	588	2874
68	596	2861
69	605	2853
70	614	2846
71	622	2836
72	630	2823
73	637	2809
74	645	2795
75	652	2781
76	659	2765
77	668	2758
78	676	2746
79	683	2735
80	691	2722
81	696	2700
82	703	2687
83	710	2674
84	720	2670
85	729	2661
86	736	2649
87	743	2634
88	750	2623
89	757	2610
90	765	2597
91	774	2592
92	781	2578
93	788	2565
94	796	2558
95	808	2560
96	820	2563
97	840	2589
98	858	2608
99	882	2648
100	903	2673
101	928	2713
102	941	2716
103	956	2721
104	970	2726
105	976	2708
106	990	2711
107	1005	2719
108	1017	2717
109	1030	2715
110	1042	2713
111	1053	2708
112	1066	2709
113	1082	2715
114	1095	2714
115	1109	2715
116	1124	2720
117	1137	2718
118	1149	2714
119	1161	2710
120	1173	2705
121	1185	2701
122	1200	2704
123	1216	2707
124	1228	2702
125	1240	2698
126	1253	2693
127	1266	2691
128	1278	2685
129	1289	2678
130	1301	2671
131	1312	2664
132	1325	2660
133	1336	2653
134	1346	2642
135	1358	2637
136	1369	2629
137	1380	2620
138	1390	2611
139	1399	2598
140	1409	2589
141	1418	2576
142	1430	2570
143	1440	2561
144	1449	2548
145	1456	2533
146	1465	2522
147	1475	2511
148	1484	2500
149	1493	2489
150	1501	2475
151	1508	2461
152	1516	2447
153	1522	2431
154	1527	2414
155	1534	2399
156	1541	2386
157	1550	2375
158	1557	2360
159	1564	2346
160	1572	2333
161	1579	2320
162	1587	2307
163	1594	2293
164	1601	2280
165	1609	2268
166	1616	2256
167	1623	2241
168	1631	2230
169	1639	2217
170	1648	2208
171	1658	2198
172	1666	2187
173	1677	2179
174	1686	2168
175	1693	2155
176	1703	2146
177	1711	2134
178	1719	2123
179	1728	2112
180	1735	2099
181	1743	2087
182	1754	2080
183	1765	2072
184	1773	2061
185	1781	2050
186	1789	2037
187	1796	2026
188	1805	2015
189	1818	2009
190	1826	1998
191	1836	1989
192	1847	1981
193	1855	1970
194	1862	1958
195	1869	1946
196	1878	1935
197	1903	1941
198	1913	1932
199	1920	1920
200	1927	1908
201	1935	1897
202	1942	1885
203	1950	1873
204	1957	1861
205	1965	1850
206	1973	1840
207	1981	1829
208	1988	1817
209	1996	1806
210	2003	1794
211	2011	1783
212	2018	1772
213	2026	1761
214	2032	1749
215	2041	1738
216	2048	1727
217	2056	1717
218	2063	1705
219	2071	1694
220	2079	1684
221	2086	1672
222	2093	1661
223	2103	1652
224	2112	1642
225	2122	1633
226	2131	1624
227	2139	1613
228	2146	1602
229	2153	1591
230	2161	1581
231	2168	1570
232	2177	1560
233	2185	1550
234	2194	1540
235	2202	1530
236	2212	1521
237	2219	1510
238	2227	1500
239	2236	1490
240	2244	1480
241	2252	1470
242	2260	1460
243	2270	1451
244	2279	1441
245	2287	1431
246	2296	1422
247	2305	1412
248	2314	1403
249	2321	1393
250	2329	1382
251	2338	1373
252	2346	1363
253	2354	1353
254	2361	1343
255	2369	1333
256	2377	1323
257	2387	1313
258	2396	1304
259	2404	1294
260	2411	1284
261	2418	1273
262	2425	1263
263	2433	1253
264	2442	1244
265	2451	1234
266	2459	1224
267	2466	1214
268	2474	1204
269	2482	1195
270	2489	1185
271	2497	1175
272	2504	1165
273	2514	1156
274	2522	1146
275	2530	1136
276	2538	1127
277	2547	1117
278	2556	1108
279	2565	1099
280	2575	1090
281	2587	1082
282	2595	1073
283	2603	1063
284	2612	1054
285	2621	1044
286	2630	1035
287	2639	1026
288	2649	1017
289	2659	1008
290	2667	999
291	2676	989
292	2711	990
293	2722	981
294	2730	971
295	2738	962
296	2747	952
297	2757	943
298	2767	934
299	2774	924
300	2785	916
301	2795	907
302	2805	898
303	2816	889
304	2827	880
305	2834	870
306	2842	861
307	2850	851
308	2857	841
309	2866	832
310	2875	822
311	2885	813
312	2911	809
313	2921	800
314	2928	790
315	2935	780
316	2943	770
317	2950	760
318	2957	751
319	2965	741
320	2972	731
321	2981	722
322	2988	712
323	2998	703
324	3006	693
325	3016	684
326	3024	675
327	3033	665
328	3041	656
329	3048	646
330	3057	637
331	3065	627
332	3073	618
333	3081	609
334	3096	600
335	3107	591
336	3118	582
337	3127	573
338	3137	564
339	3147	555
340	3157	546
341	3167	537
342	3175	527
343	3184	518
344	3192	509
345	3201	499
346	3211	490
347	3219	481
348	3230	472
349	3239	462
350	3247	453
351	3256	444
352	3263	434
353	3271	425
354	3281	416
355	3291	406
356	3300	397
357	3310	388
358	3318	379
359	3327	369
360	3337	360
361	3345	351
362	3352	341
363	3360	332
364	3368	323
365	3375	313
366	3383	304
367	3392	294
368	3402	285
369	3412	276
370	3422	267
371	3432	258
372	3439	249
373	3446	239
374	3454	230
375	3461	220
376	3469	211
377	3478	202
378	3486	193
379	3496	184
380	3507	174
381	3516	165
382	3524	156
